编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
19145,关于社康药费如何定价的,深圳市卫生和计划生育委员会,2015.06.29,2015.07.06,"我于6月27去社康医院看病，医生所开牛黄解毒片a，一盒六片，价格19.56，这个是如何定价的，在网上查了，最高的药价25元，有12片，这个还是最常用的药比较了解的一种，网上这个还是零售价，那其他药我们不了解的呢？一个喉咙痛去社康一次，拿药加诊查费107.42，不是说医改，是不是越改越高？要怎么样才看得起病？那些没医保的人是不是不用去看了，就这样拖着了。请回复这个药价为什么这么高？
		","您好，药品价格由省统一定价，我市无定价权。我市社康中心药价在采购进价的基础上打7折，实际上是比进价还低。已与你沟通，其表示理解。
		
		",1.3556940320902378e-05
25287,办理独生子女证,深圳市卫生和计划生育委员会,2013.10.18,2013.10.24,"你好，请问提交办理独生子女证的申请材料后，多少个工作日可以领取？在哪里领取？谢谢
		","你好！你咨询的问题我委工作人员已通过电话与你作了沟通解释，如仍有疑问，可致电12345咨询。谢谢你的来信，祝你身体健康，生活愉快！
",1.5299891321429726e-05
24593,关于办理计划生育证明,深圳市卫生和计划生育委员会,2014.04.03,2014.04.11,"我小孩的出生证日期是阳历的日期，但派出所上户口的时候上的是阴历的日期，从而户口本的出生日期和出生证的日期对不上，请问办理计划生育证明的时候他们能以这个问题为由不给办吗？
		","你好，因你的信息不一致故无法办理，建议先去公安部门更正信息再办理，若还有疑问，请致电阳光计生热线0755-12356，谢谢你的来信。
",1.8425318493831e-05
1929,关于深圳市晚育假取消的时间点,深圳市卫生和计划生育委员会,2017.03.24,2017.03.24,"晚育假自3月21日条例废止后取消，想请问，3月21日前开始休产假的员工这15天是应享有还是取消？
		","你好，条例废除前已休产假的是应享有的晚育假的。
		
		",2.0700986303689994e-05
19853,深圳市昆仑泌尿外科医院,深圳市卫生和计划生育委员会,2015.06.07,2015.06.08,"深圳市昆仑泌尿外科医院官方网站介绍是深圳唯一一家三等甲级标准男科医院，深圳市最好的男科医院，经询问，答复是卫生部门评的，（有询问截图），我想确认真假。谢谢
		","你好，深圳市昆仑泌尿外科医院是经我委批准社立的盈利性社会办医疗机构，目前未定级，谢谢你的来信。
		
		",2.0907094724909037e-05
7487,广东省生育奖励假增加到80天后，深圳的产假天数是否有变化？,深圳市卫生和计划生育委员会,2016.10.10,2016.10.10,"9月29日广东省的生育奖励假增加到80天，按照深圳市目前的人口与计划生育规定，一胎是在省规定的基础上加15天，那么现在深圳是不是生育奖励假应该是95天？也就是说一胎应该有988015天的产假？二胎依然只有9880天？请尽快回复，谢谢！
		","2016年1月1日后生育的，计生方面的假期为符合法律、法规规定生育子女的夫妻，符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。符合现《深圳经济特区人口计划生育条例》晚育条件生育的，还有15日晚育假。2016年9月29日后依法生育，以及在此前依法生育且法定生育假期尚未休完的，均可按新条例规定享受80日的奖励假。难产的可再增加30日产假，生育多胞胎的每多生育一个子女增加15日产假。在规定假期内照发工资，不影响福利待遇和全勤评奖。假期从开始之日算起至结束之日，包括周末及法定节假日。若不执行可向劳动部门提出或直接向法院提出申诉维权。
		
		",2.1479238099475495e-05
4871,非深户外省人口如何办理准生证,深圳市卫生和计划生育委员会,2016.12.21,2016.12.21,"本人户籍地是广西壮族自治区，现在大鹏新区工作，原计划在大鹏附近的社区工作站办理准生证，到社区工作站通过计生办的专员了解到深圳市在最近针对非深户外省流动人口办理准生证颁布了新政策，办理流程比较麻烦，计生办的专员建议我回户籍地办理准生证，我咨询广西计生局的人了解到广西最新的政策对于生首胎的夫妻是不需要办理准生证的，只需要填表登记即可，但是我是计划在深圳的医院进行孕检和生产的，如果没有准生证就无法在这边报销社保或医保，现不知道如何处理，希望得到您的建议或意见，谢谢！
		","16、流动人口办理一孩生育登记需要什么资料？根据《流动人口办理一孩生育服务登记规定》的通知，《一孩生育登记证明》可用于流动人口孕产妇接受医疗机构孕检和分娩前查验。提供的材料：（一）夫妻双方的居民身份证、结婚证、女方深圳居住证或居住证办理回执。（二）已怀孕的相关证明材料（包括母子保健手册），流动育龄夫妻持所需材料原件、复印件向女方现居住地社区工作站共同提出申请。
		
		",3.7767716126513307e-05
23815,关于医师资格证注册日期,深圳市卫生和计划生育委员会,2014.08.18,2014.08.20,"你好！我原来在湖北省工作，获得医师资格证并注册的日期是2000年，后来到深圳工作，变更到深圳的是时间是2007，但我现在的单位只承认我在深圳的时间，这个应是全国联网的，可能查到，原证书也上交了，是否可以查到原注册时间。谢谢！
		","你好，你可去你单位上级卫生行政部门卫生监督所看是否能查询，谢谢你的来信。
		
		",5.846871422166e-05
19389,深圳市执业医师注册体检时是否需要查乙肝两对半,深圳市卫生和计划生育委员会,2015.06.19,2015.06.26,"请问深圳市执业医师注册时是否需要查乙肝两对半，是否对乙肝表面抗原阳性、但肝功能正常者不予以注册？
		","你好，窗口使用的全国统一印制的《医师执业注册申请审核表》中有一页是“广东省医师执业注册健康体检表”，表内无乙肝两对半检查栏目；已告知申请人直接到我委或市行政服务大厅等网站下载申请表。
		
		",7.269531397913198e-05
4006,1.外地户口，二胎抢生未处理，大孩2017幼升小是否有影响 2.全面二孩政策后，迁深户为什么还卡计生,深圳市卫生和计划生育委员会,2017.02.13,2017.02.14,"尊敬的领导，您好！ 1.外地户口，二胎抢生未处理，大孩2017幼升小是否有影响？我们在龙华区，我们已经去社区登录计生信息，但入学的后台比对不知道能否通过？ 2.对于“全面两孩”新政出台前违反生育规定生育子女的征收问题，国家卫生计生委要求按如下原则处理：已经处理的，维持原处理决定，尚未作出处理的，由当地依法处理。 正是卫计委的这个所谓原则，让许多抢生的家庭处于尴尬地位： 我们老家是湖北的，老家对抢生二孩已经不做实质处理，不下决定书，不收罚款，但也不出证明文件说我们合法不予追究。他们回复说国家没具体政策，只好观望等待。 但深圳市针对外地户口的人入学，迁深户等在计生方面却有明确限制，请问如果外地户口的计生已经不下决定书，不收罚款；我们如何跟深圳计生提供决定书和发票，如何解决入学，转深户问题？ 3.本人来深圳12年，龙华有房子，一直交社保，本科学历，条件除了超生的计生问题，其他都满足迁深户条件绰绰有余。 全面二孩政策后，很多地方对抢生已经不做实质处理了，卫计委杨文庄2017年1月发表新闻讲话，对抢生处理按三个原则，本质就是“有利于当事人”原则；信息很明确了。强烈建议在入户问题上取消计生限制。期待您的答复！
		","一、今年，新生入学信息与计生信息采取网上比对的方式进行，请家长根据家庭人员信息及计生情况如实到社区计生窗口登记准确信息并进行确认。二、计生仅负责录入家长计生信息进行后台比对，计生验核结果分类有四项：独生子女、政策内或全面两孩、政策外但已处理、政策外未接受处理。凡对验核结果有异议的，家长可至街道计生部门重新提交资料，街道计生部门对资料进行审核后分类处理。计生不参与制定入学积分规则，积分细则请咨询深圳市教育局或各区教育局。
",7.580930285733256e-05
