编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
25595,国有控股公司增资的程序问题,深圳市人民政府国有资产监督管理委员会,2013.07.26,2013.08.05,"您好，我公司为一家国有控股公司（60%股权），并全资设立了一子公司。现因业务需要，子公司欲增资扩股，并新增加一特定股东（内资企业法人），增资后新股东持股40%，现请问，1）是否需要报国资委审批，还是只要子公司召开股东会董事会批准即可？2）是否需要走公开流程，到产权交易所办理增资？还是只需要签署合资协议，工商注册即可？
		","您好，感谢您对我委工作的支持。根据《深圳市属企业国有产权变动监管规定》，深圳市属控股企业进行增资扩股应当履行决策审批、资产评估等规定程序，并通过国资监管部门选择确定的国有产权交易机构公开披露信息，广泛征集意向投资人。若拟增资扩股企业为深圳市属控股企业，有关事宜请与该企业所属的直管企业具体联系落实。
",6.517634010272388e-08
14451,第九幼儿园七月份社保该不该给我缴,深圳市人民政府国有资产监督管理委员会,2016.01.04,2016.01.18,"我在第九幼儿园是保育员，合同七月二十号到期。七月十号彭园长找我终止合同，工资比六月份少了二百多元，社保没有帮我缴也没有告知不帮缴，是不是财务问题？十二月我在社保局才发现七月份没有帮我缴社保。欺骗 吗？
		","你好，有关你反映的问题，我委转交深圳市投资控股有限公司幼教管理中心（以下简称“幼教中心”）核查，经了解，幼教中心工作人员已与你电话沟通，并反馈了核查情况。感谢你对我委工作的关注和支持。
		
		",3.044290305398434e-07
25957,国企对外投资比例,深圳市人民政府国有资产监督管理委员会,2013.01.17,2013.01.23,"请问现在国企对外投资是否还有累计对外投资不得超过本企业净资产的50%的比例限制？国发[1997]第19号《国务院批转财政部关于加强国有企业财务监督意见的通知》有上述规定，请问现在是否还适用？
","已和投诉人电话沟通，投诉人对我委的答复表示满意。答复内容：根据企业投资管理有关规定，现已不存在“对外投资累计额不得超过净资产50%的比例”的限制，深圳市属国企投资项目投资额在净资产50%以上的项目，由企业股东（大）会决策即可；国发[1997]19号文不是我委发布，该文件是否使用不属于我委解释范围。
",7.341067056465533e-07
26287,安装管道煤气,深圳市人民政府国有资产监督管理委员会,2012.03.22,2012.04.12,"我是南山区华联花园5栋4楼的新业主，原来整橦楼大部分都已安装管理煤气，致电燃气集团安装管道煤气，得到答复是4楼涉及高空作业，燃气集团无高空作业资质，需要专业公司搭架子,架子要从一楼搭到七楼，费用要近万，新业主怎么支撑得住这么高的费用，现在很多老小区都出现这种情况，这种情况出现了，政府对待此事是不是应该想个办法解决这些事情，毕竟用瓶装气不安全。
","? 刘先生： 您好，根据《建设工程安全生产管理条例》（国务院令393号）、《特种设备安全监察条例》（国务院令549号）、以及《特种作业人员安全技术培训考核管理规定》（国家安监总局令第30号）等法规的有关规定，高处作业属于特种作业，从事高处作业的人员属于特种作业人员。目前，常用的解决高处作业施工的方式有两种：一是采用高处作业吊篮，该吊篮属于特种设备，其安装和拆除必须取得相应的资质；二是搭设脚手架，脚手架的装、拆均属于特种作业，必须由具备相应资质的单位实施。 经了解，燃气集团不具备上述高处作业吊篮和脚手架的装、拆资质，所以，无法提供高处作业服务。如用户有需要，可以自行联系有资质的单位，燃气集团也可以协助联系，但费用不由燃气集团承担。
",7.514353466131496e-07
5223,深圳人才网——2个月预约不上，无法办理人才引进入深户,深圳市人民政府国有资产监督管理委员会,2016.11.26,2016.12.13,"尊敬的国资委领导，您好。我是一名来深工作的大学生。近2个月来，因为落户的事，深感无力。希望有关部门能帮助解决。 1. 深圳市人力资源和社会保障局的政策规定是：个人落户，必须委托人才代理机构办理。我选择了深圳人才交流中心。 2. 深圳人才交流中心，试行网上预约模式。而连续2个月，登录它的预约网址 http://aux.szhr.com/pasr/login-person.jsp 都无法预约上号。堪比春运抢火车票的难度。也有去现场咨询，工作人员的答复是：必须先在网上预约，才可以办理。 3. 深圳人才交流中心的官方微博、微信，投诉未果。 每年来深圳的大学毕业生成千上万个，相信不止我一个遇到这个困扰。我百度一下关键字“深圳人才网 预约”，搜到知乎上竟然也有相似遭遇的同学。网上预约是好事，但是连续2个月都预约不上，确实很困扰：我只是想入个深户，就这么难吗？ 期待您的答复。非常感谢您百忙之中阅读我这封信。 此致敬礼大学生甲
		","你好，有关你的投诉，我委已转人才服务中心办理，并要求做好服务工作，提升服务质量。感谢你对我委工作的理解和支持。
		
		",2.13530916737259e-06
6763,如何定义国有控股企业、参股企业以及国有企业重要下属企业,深圳市人民政府国有资产监督管理委员会,2016.10.23,2016.11.03,"《深圳市属企业国有产权变动监管规定》第三条规定：“本规定适用于深圳市国有资产监督管理局（以下简称市国资局）直接履行出资人职责的国有独资企业、国有独资公司和国有控股公司（以下统称直接出资企业）及其所属企业发生的产权变动行为。本规定不适用国有参股企业所持有的产权变动行为。” 第八条规定：“直接出资企业对企业国有产权变动履行下列职责：（三）按照本规定第十四条规定的权限，决定所属企业国有产权变动事项，研究、审议重要下属企业的重大产权变动事项，并按规定报市国资局批准；” 请问：深圳市国资委对于“国有控股公司”“国有参股公司”“重要下属企业”是如何定义的？
		","你好，有关你咨询的事项，我委工作人员已与你电话联系，并就有关概念进行了说明。感谢您对我委工作的关心！
",2.359754963210392e-06
26232,美芝员工办理退休需要国资委代单位签署单位意见，请问该联系哪个部门办理,深圳市人民政府国有资产监督管理委员会,2012.04.29,2012.05.11,"深圳市美芝工业公司因为情况特殊，已达到退休年龄的员工均无法由单位办理退休，而通过市社保局退休办获悉，员工个人在办理退休申请时需要国资委代单位在申请表上签署单位意见并按自然人来办理退休手续。 ? 请问我们应该联系国资委哪个部门来签署单位意见呢？请提供详细联系方式和地址。谢谢！
","已当面与当事人沟通，解答当事人所提的问题。
",4.174887054841925e-06
4785,人才中心太难约，基本都是秒抢啊,深圳市人民政府国有资产监督管理委员会,2016.12.05,2016.12.27,"深圳人才中心网上预约太难抢了，都超过了过年抢过火车票了，难道是通过预约就先筛掉一批人？那为什么淘宝黄牛都能预约到？干脆先把他们都转深户吧！ 请问怎么才能预约到呢？难道真要淘宝买？这难道是深圳给人才上的第一课？
		","你好，有关你的咨询，我委已转人才服务中心办理，并要求做好服务工作，提升服务质量。感谢你对我委工作的理解和支持。
		
		",5.4035296871424165e-06
26148,国有企业受让非国有企业的股权是否需要评估等程序？,深圳市人民政府国有资产监督管理委员会,2012.07.05,2012.07.17,"您好，因业务需要，我希望咨询以下问题： 1、国有企业受让非国有企业的股权，是否需要经过评估，或是否需要履行其他程序？ 2、《国有资产评估管理若干问题的规定》第六条：“占有单位有下列行为之一的，应当对相关非国有资产进行评估：　　(一)收购非国有资产；……”此处的“资产”是否包含股权？ 3、如果需要经过评估等程序的话，没有履行这些程序有什么法律后果？ ? 希望国资委能予以耐心答复，非常感谢！
","目前国有企业评估管理执行的是2005年国务院国资委颁布的《企业国有资产评估管理暂行办法》（国务院国资委令第12号，以下简称《办法》）。根据《办法》第六条，企业收购非国有单位的资产应当进行资产评估。企业收购非国有资产一般包括：企业收购整体或部分非国有单位产权；企业收购非国有单位的存货、固定资产、无形资产、土地使用权等情形。《办法》第二十七条规定，企业有应当进行资产评估而未进行资产评估情形的，由国有资产监督管理机构通报批评并责令改正，必要时可依法向人民法院提起诉讼，确认其相应的经济行为无效。
",8.56860593290154e-06
22972,批文,深圳市人民政府国有资产监督管理委员会,2014.11.19,2014.11.20,"请问外地（青岛）的国有企业和两个自然人在深圳注册有限公司，是否需要到你们部门办理相关批文，如果要办，在哪里办，有无咨询电话。
		","您好，有关企业注册的事项不属于我委监管职能范围，建议您向深圳市市场监督管理局咨询，谢谢。
		
		",1.5745077318274348e-05
