　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　　一一　　　　　　　　　	   8.9    	  139867  	我们都曾经是一一。　
　　　　　　　加勒比海盗　　　　　　　　	   8.6    	  305741  	约翰尼·德普的独角戏。
　　　　　　爱在黎明破晓前　　　　　　　	   8.7    	  198468  	缘分是个连绵词，最美不过一瞬。
　　　　　　　萤火虫之墓　　　　　　　　	   8.7    	  187967  	幸福是生生不息，却难以触及的远。 
　　　　　　　　阿凡达　　　　　　　　　	   8.6    	  492107  	绝对意义上的美轮美奂。
　　　　　　　　风之谷　　　　　　　　　	   8.8    	  161557  	动画片的圣经。　　　
　　　　　　布达佩斯大饭店　　　　　　　	   8.7    	  275493  	小清新的故事里注入了大历史的情怀。
　　　　　　　　　狩猎　　　　　　　　　	   9.0    	  107609  	人言可畏。　　　　　
　　　　　　　　断背山　　　　　　　　　	   8.6    	  292856  	每个人心中都有一座断背山。
　　　　　　爱在日落黄昏时　　　　　　　	   8.7    	  182052  	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
　　　　　　　　猫鼠游戏　　　　　　　　	   8.7    	  195966  	骗子大师和执著警探的你追我跑故事。 
　　　　　　　　侧耳倾听　　　　　　　　	   8.8    	  151604  	少女情怀总是诗。　　
　　　　　　　　摩登时代　　　　　　　　	   9.2    	  76974   	大时代中的人生，小人物的悲喜。
　　　　　　　　驯龙高手　　　　　　　　	   8.7    	  261886  	和谐的生活离不开摸头与被摸头。
　　　　　　　　末代皇帝　　　　　　　　	   8.8    	  142067  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
　　　　　　　　　海洋　　　　　　　　　	   9.0    	  93611   	大海啊，不全是水。　
　　　　　　　　　超脱　　　　　　　　　	   8.7    	  155576  	穷尽一生，我们要学会的，不过是彼此拥抱。
　　　　　哈利·波特与魔法石　　　　　　	   8.6    	  222561  	童话世界的开端。　　
　　　　　　　幸福终点站　　　　　　　　	   8.6    	  209767  	有时候幸福需要等一等。 
　　　　　　　　燃情岁月　　　　　　　　	   8.8    	  140096  	传奇，不是每个人都可以拥有。
　　　　　　穿条纹睡衣的男孩　　　　　　	   8.8    	  122417  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
　　　　　　　谍影重重3　　　　　　　　	   8.7    	  165692  	像吃了苏打饼一样干脆的电影。
　　　　　　　　电锯惊魂　　　　　　　　	   8.6    	  181719  	真相就在眼前。　　　
　　　　　　　菊次郎的夏天　　　　　　　	   8.7    	  160391  	从没见过那么流氓的温柔，从没见过那么温柔的流氓。
　　　　　　　　神偷奶爸　　　　　　　　	   8.5    	  338477  	Mr. I Don't Care其实也有Care的时候。
　　　　　　　　真爱至上　　　　　　　　	   8.5    	  286494  	爱，是个动词。　　　
　　　　　借东西的小人阿莉埃蒂　　　　　	   8.7    	  197696  	曾经的那段美好会沉淀为一辈子的记忆。
　　　　　　　　虎口脱险　　　　　　　　	   8.9    	  99091   	永远看不腻的喜剧。　
　　　　　　　　　雨人　　　　　　　　　	   8.6    	  194273  	生活在自己的世界里，也可以让周围的人显得可笑和渺小。
　　　　　　　　倩女幽魂　　　　　　　　	   8.6    	  222142  	两张绝世的脸。 　　
　　　　　　　　岁月神偷　　　　　　　　	   8.6    	  283870  	岁月流逝，来日可追。
　　　　　　　消失的爱人　　　　　　　　	   8.7    	  313046  	无　　　　　　　　　
　　　　　　　　七武士　　　　　　　　　	   9.1    	  68101   	时代悲歌。　　　　　
　　　　　　贫民窟的百万富翁　　　　　　	   8.5    	  370740  	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
　　　　　　　　记忆碎片　　　　　　　　	   8.5    	  253070  	一个针管引发的血案。
　　　　　　　　东邪西毒　　　　　　　　	   8.6    	  229134  	电影诗。　　　　　　
　　　　　　　　恐怖直播　　　　　　　　	   8.7    	  188217  	恐怖分子的“秋菊打官司”。
　　　　　　　疯狂原始人　　　　　　　　	   8.7    	  343248  	老少皆宜，这就是好莱坞动画的魅力。
　　　　　　　怪兽电力公司　　　　　　　	   8.6    	  215609  	不要给它起名字，起了名字就有感情了。
　　　　　　　　杀人回忆　　　　　　　　	   8.6    	  184949  	关于连环杀人悬案的集体回忆。
　　　　　　穿越时空的少女　　　　　　　	   8.6    	  169496  	爱上未来的你。 　　
　　　　　　　卢旺达饭店　　　　　　　　	   8.8    	  106736  	当这个世界闭上双眼，他却敞开了怀抱。
　　　　　　　　红辣椒　　　　　　　　　	   8.8    	  111094  	梦的勾结。　　　　　
　　　　　　　　魂断蓝桥　　　　　　　　	   8.8    	  119941  	中国式内在的美国电影。
　　　　　　　　黑天鹅　　　　　　　　　	   8.5    	  383724  	黑暗之美。　　　　　
　　　　　　　恋恋笔记本　　　　　　　　	   8.5    	  252565  	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
　　　　　　　　猜火车　　　　　　　　　	   8.5    	  224631  	不可猜的青春迷笛。 
　　　　　　　　英雄本色　　　　　　　　	   8.7    	  131996  	英雄泪短，兄弟情长。 
　　　　　　　　　喜宴　　　　　　　　　	   8.8    	  120919  	中国家庭的喜怒哀乐忍。
　　　　　　　傲慢与偏见　　　　　　　　	   8.4    	  271401  	爱是摈弃傲慢与偏见之后的曙光。
　　　　　　　　教父3　　　　　　　　　	   8.7    	  116784  	任何信念的力量，都无法改变命运。
　　　　　　　　雨中曲　　　　　　　　　	   8.9    	  84310   	骨灰级歌舞片。　　　
　　　　　　　完美的世界　　　　　　　　	   9.0    	  70521   	坏人的好总是比好人的好来得更感人。
　　　　　　　玩具总动员3　　　　　　　	   8.7    	  179035  	跨度十五年的欢乐与泪水。
　　　　　　　　纵横四海　　　　　　　　	   8.7    	  126218  	香港浪漫主义警匪动作片的巅峰之作。
　　　　　　小森林 夏秋篇　　　　　　　	   8.9    	  105869  	无　　　　　　　　　
　　　　　　　　人工智能　　　　　　　　	   8.6    	  173829  	对爱的执着，可以超越一切。
　　　　　　　　萤火之森　　　　　　　　	   8.7    	  137311  	触不到的恋人。　　　
　　　　　　　　喜剧之王　　　　　　　　	   8.4    	  270034  	我是一个演员。　　　
　　　　　　　　我是山姆　　　　　　　　	   8.8    	  91246   	爱并不需要智商 。　
　　　　　　　　　香水　　　　　　　　　	   8.4    	  251431  	一个单凭体香达到高潮的男人。
　　　　　　　　冰川时代　　　　　　　　	   8.4    	  247509  	松鼠才是角儿。　　　
　　　　　　　　　浪潮　　　　　　　　　	   8.7    	  116386  	世界离独裁只有五天。
　　　　　　　　　撞车　　　　　　　　　	   8.6    	  160610  	天使与魔鬼的冲撞。　
　　　哈利·波特与死亡圣器(下)　　　　	   8.6    	  248418  	10年的完美句点。　
　　　　　　　7号房的礼物　　　　　　　	   8.6    	  149808  	《我是山姆》的《美丽人生》。
　　　　　　　　朗读者　　　　　　　　　	   8.5    	  258091  	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
　　　　　　　秒速5厘米　　　　　　　　	   8.4    	  263237  	青春就是放弃和怀念。
　　　　　　　　碧海蓝天　　　　　　　　	   8.7    	  101748  	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
　　　　　　　　　追随　　　　　　　　　	   9.0    	  69736   	诺兰的牛逼来源于内心散发出的恐惧。
　　　　　　　　花样年华　　　　　　　　	   8.4    	  217424  	偷情本没有这样美。　
　　　　　　　　罗生门　　　　　　　　　	   8.7    	  108912  	人生的N种可能性。　
　　　　　　　梦之安魂曲　　　　　　　　	   8.7    	  99293   	一场没有春天的噩梦。
　　　　　　　　战争之王　　　　　　　　	   8.5    	  159320  	做一颗让别人需要你的棋子。
　　　　　　　　可可西里　　　　　　　　	   8.6    	  116931  	坚硬的信仰。　　　　
　　　　　　　　一次别离　　　　　　　　	   8.7    	  118784  	只有有信仰的人才能说出事实真相。
　　　　　　　　海盗电台　　　　　　　　	   8.6    	  155588  	生命不止，摇滚不死。
　　　　　　　　心迷宫　　　　　　　　　	   8.6    	  132499  	无　　　　　　　　　
　　　　　　　唐伯虎点秋香　　　　　　　	   8.3    	  279999  	华太师是黄霑，吴镇宇四大才子之一。
　　　　　　　超能陆战队　　　　　　　　	   8.6    	  328445  	无　　　　　　　　　
　　　　　　　时空恋旅人　　　　　　　　	   8.6    	  169409  	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
　　　　　　　谍影重重2　　　　　　　　	   8.5    	  143972  	谁说王家卫镜头很晃？
　　　　　　　　谍影重重　　　　　　　　	   8.5    	  174563  	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
　　　　　　　　迁徙的鸟　　　　　　　　	   9.1    	  48473   	最美的飞翔。　　　　
　　　　　　　地球上的星星　　　　　　　	   8.8    	  70297   	天使保护事件始末。　
　　　　　　　　荒野生存　　　　　　　　	   8.6    	  116131  	出门必备：本草纲目。
　　　　　蝙蝠侠：黑暗骑士崛起　　　　　	   8.5    	  266884  	诺兰就是保证。　　　
　　　　　　　　阿飞正传　　　　　　　　	   8.5    	  157524  	王家卫是一种风格，张国荣是一个代表。
　　　　　　　　绿里奇迹　　　　　　　　	   8.7    	  95674   	天使暂时离开。　　　
　　　　　　　勇闯夺命岛　　　　　　　　	   8.5    	  129702  	类型片的极致。 　　
　　　　　　　　荒蛮故事　　　　　　　　	   8.7    	  108613  	无　　　　　　　　　
　　　　　　　　恐怖游轮　　　　　　　　	   8.3    	  275685  	不要企图在重复中寻找已经失去的爱。
　　　　　　　　惊魂记　　　　　　　　　	   8.8    	  71981   	故事的反转与反转，分裂电影的始祖。
　　　　　　　　燕尾蝶　　　　　　　　　	   8.6    	  100772  	现实与童话交相辉映的旅程。
　　　　　　　魔女宅急便　　　　　　　　	   8.4    	  172203  	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
　　　　　　　卡萨布兰卡　　　　　　　　	   8.6    	  112446  	与同名歌曲无关。　　
　　　　　再次出发之纽约遇见你　　　　　	   8.5    	  143996  	爱我就给我看你的播放列表。
　　　　　　达拉斯买家俱乐部　　　　　　	   8.6    	  148656  	Jared Leto的腿比女人还美！
　　　　　　小森林 冬春篇　　　　　　　	   8.9    	  91296   	无　　　　　　　　　
　　　　　　　　英国病人　　　　　　　　	   8.4    	  161820  	In memory, love lives forever...
　　　　　　这个男人来自地球　　　　　　	   8.5    	  156589  	科幻真正的魅力不是视觉效果能取代的。 
　　　　　　　　　变脸　　　　　　　　　	   8.4    	  195696  	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
　　　　　　　未麻的部屋　　　　　　　　	   8.8    	  77597   	好的剧本是，就算你猜到了结局也猜不到全部。
　　　　　　　　东京物语　　　　　　　　	   9.2    	  43556   	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
　　　　　　终结者2：审判日　　　　　　	   8.5    	  127335  	少见的超越首部的续集，动作片中的经典。
　　　　　　　叫我第一名　　　　　　　　	   8.6    	  98489   	乐观比一切都有力量。
